rank,paper_id,overall_score,has_d_final_output,status,morphology_coverage_completeness,value_fidelity_verbatim,attribution_correctness,schema_compliance,hallucination_and_noise_control
1,APhageProtein_Confers_Resistance_to_the_Lactococca,10.0,True,ok,10.0,10.0,10.0,10.0,10.0
2,A_Genomewide_Mutagenesis_ScreenIdentifiesMultiple_,10.0,True,ok,10.0,10.0,10.0,10.0,10.0
3,A_Mutation_within_the_β_Subunit_ofEscherichia_coli,10.0,True,ok,10.0,10.0,10.0,10.0,10.0
4,A_Possible_Heterodimeric_Prophage-Like_Element_in_,10.0,True,ok,10.0,10.0,10.0,10.0,10.0
5,A_Self-Splicing_Group_I_Intron_in_DNA_Polymerase_G,10.0,True,ok,10.0,10.0,10.0,10.0,10.0
6,A_Study_of_the_CopF_Repressor_of_Plasmid_pAMβ1_byP,10.0,True,ok,10.0,10.0,10.0,10.0,10.0
7,An_RNA_Hairpin_Sequesters_the_Ribosome_Binding_Sit,10.0,True,ok,10.0,10.0,10.0,10.0,10.0
8,Analysis_of_Early_Promoters_of_theBacillusBacterio,9.8,True,ok,10.0,10.0,10.0,9.0,10.0
9,An_Enterotoxin-Bearing_Pathogenicity_Island_inStap,9.6,True,ok,8.0,10.0,10.0,10.0,10.0
10,Abortive_Infection_Mechanisms_and_Prophage_Sequenc,9.4,True,ok,8.0,10.0,9.0,10.0,10.0
11,Anatomy_of_a_LactococcalPhageTail,9.1,True,ok,8.0,9.0,9.5,10.0,9.0
12,A_Tail_Fiber_Protein_and_a_Receptor-Binding_Protei,9.0,True,ok,6.0,10.0,10.0,10.0,9.0
13,AbortivePhageResistance_Mechanism_AbiZ_Speeds_the_,8.2,True,ok,1.0,10.0,10.0,10.0,10.0
14,A_1_Ribosomal_Frameshift_in_the_Transcript_That_En,8.1,True,ok,0.5,10.0,10.0,10.0,10.0
15,ABacteriophageCapsid_Protein_Is_an_Inhibitor_of_a_,8.0,True,ok,0.0,10.0,10.0,10.0,10.0
16,A_Conserved_C-Terminal_Region_in_Gp71_of_the_Small,8.0,True,ok,3.0,10.0,8.0,10.0,9.0
17,Amino_Acid_Residues_in_the_GIY-YIG_Endonuclease_II,8.0,True,ok,0.0,10.0,10.0,10.0,10.0
18,An_Active_Type_IV_Secretion_System_Encoded_by_the_,8.0,True,ok,0.0,10.0,10.0,10.0,10.0
19,Analysis_of_DNA_Binding_by_a_Eubacterial_Zinc_Fing,8.0,True,ok,0.0,10.0,10.0,10.0,10.0
20,Bacillus_subtilisOperon_Encoding_a_Membrane_Recept,8.0,True,ok,0.0,10.0,10.0,10.0,10.0
21,Bacteriophageand_Phenotypic_Variation_inPseudomona,8.0,True,ok,2.0,9.0,9.5,10.0,9.5
22,A_Conserved_Acetyl_Esterase_Domain_Targets_Diverse,7.0,True,ok,8.0,9.0,7.0,6.0,5.0
23,A_Novel_FilamentousPhagefrom_the_Deep-Sea_Bacteriu,6.3,True,ok,2.5,8.0,6.5,8.0,6.5
